Unique bug id,Unique bug name,Occurence,Source,Commit/Bugzilla ID,Year,First appearance,Security impacts,Specific cause,,,,
l-13,UB pointer-offset-overflow,1(linux),linux,beaec533fc2701a28a4d667f67c9f59c6e4e0d13,2017,2017,hang,No-UB assumption,,,,
l-8,UB elimi-shift,1(linux),linux,d50f2ab6f050311dbf7b8f5501b25f0bf64a439b,2012,2012,hang,No-UB assumption,,,,
b-1,UB std func arg assumption,1(gcc),gcc,41946,2009,2009,crash,No-UB assumption,,,,
b-2,UB ret value of builtin func,1(gcc),gcc,89670,2019,2019,crash,No-UB assumption,,,,
l-16,UB nonull ptr assumption,1(linux),linux,02828845dda5ccf921ab2557c6ca17b6e7fc70e2,2006,2006,crash,No-UB assumption,,,,
l-24,UB nonull ptr assumption,2(linux),linux,a3ca86aea507904148870946d599e07a340b39bf,2009,2006,crash,No-UB assumption,,,,
l-24,UB nonull ptr assumption,2(linux),linux,c6837aa18016da3e524eb7bb51b8941c1ce8cd73,2024,2006,crash,No-UB assumption,,,,
b-8,UB nonull ptr assumption,3(gcc),gcc,33629,2007,2006,crash,No-UB assumption,,,,
b-8,UB nonull ptr assumption,3(gcc),gcc,70038,2016,2006,crash,No-UB assumption,,,,
b-8,UB nonull ptr assumption,3(gcc),gcc,115770,2024,2006,crash,No-UB assumption,,,,
b-3,UB res of strlen(no OOB assumption),1(gcc),gcc,85310,2018,2018,crash,No-UB assumption,,,,
b-9,UB signed int overflow,2(linux) 14(gcc) 5(llvm),llvm,122400,2025,2007,any possibility,No-UB assumption,,,,
b-9,UB signed int overflow,2(linux) 14(gcc) 5(llvm),gcc,106333,2022,2007,any possibility,No-UB assumption,,,,
b-9,UB signed int overflow,2(linux) 14(gcc) 5(llvm),linux,6d92d4f6a74766cc885b18218268e0c47fbca399,2013,2007,any possibility,No-UB assumption,,,,
b-9,UB signed int overflow,2(linux) 14(gcc) 5(llvm),linux,bcfa57ce10d3d53d37a6e324f3010b1ce6a2784a,2012,2007,any possibility,No-UB assumption,,,,
b-9,UB signed int overflow,2(linux) 14(gcc) 5(llvm),llvm,17016 (original 16642),2013,2007,any possibility,No-UB assumption,,bugzilla,clang,invalid
b-9,UB signed int overflow,2(linux) 14(gcc) 5(llvm),llvm,23196 (original 22822),2015,2007,crash,No-UB assumption,,bugzilla,clang:codegen,invalid
b-9,UB signed int overflow,2(linux) 14(gcc) 5(llvm),gcc,30475,2007,2007,crash,No-UB assumption,,,,
b-9,UB signed int overflow,2(linux) 14(gcc) 5(llvm),llvm,34405 (original 35057),2017,2007,hang,No-UB assumption,,bugzilla,clang,invalid
b-9,UB signed int overflow,2(linux) 14(gcc) 5(llvm),gcc,39311,2009,2007,crash,No-UB assumption,,,,
b-9,UB signed int overflow,2(linux) 14(gcc) 5(llvm),gcc,46619,2011,2007,any possibility,No-UB assumption,,,,
b-9,UB signed int overflow,2(linux) 14(gcc) 5(llvm),llvm,46055 (original 46710),2020,2007,crash,No-UB assumption,,bugzilla,clang,invalid
b-9,UB signed int overflow,2(linux) 14(gcc) 5(llvm),gcc,47732,2011,2007,hang,No-UB assumption,,,,
b-9,UB signed int overflow,2(linux) 14(gcc) 5(llvm),gcc,48793,2011,2007,any possibility,No-UB assumption,,,,
b-9,UB signed int overflow,2(linux) 14(gcc) 5(llvm),gcc,49183,2011,2007,crash,No-UB assumption,,,,
b-9,UB signed int overflow,2(linux) 14(gcc) 5(llvm),gcc,49820,2011,2007,crash,No-UB assumption,,,,
b-9,UB signed int overflow,2(linux) 14(gcc) 5(llvm),gcc,60527,2014,2007,crash,No-UB assumption,,,,
b-9,UB signed int overflow,2(linux) 14(gcc) 5(llvm),gcc,69612,2016,2007,any possibility,No-UB assumption,,,,
b-9,UB signed int overflow,2(linux) 14(gcc) 5(llvm),gcc,87123,2018,2007,any possibility,No-UB assumption,,,,
b-9,UB signed int overflow,2(linux) 14(gcc) 5(llvm),gcc,98168,2020,2007,crash,No-UB assumption,,,,
b-9,UB signed int overflow,2(linux) 14(gcc) 5(llvm),gcc,69533,2016,2007,any possibility,No-UB assumption,,,,
b-9,UB signed int overflow,2(linux) 14(gcc) 5(llvm),gcc,61131,2014,2007,any possibility,No-UB assumption,,,,
b-10,UB signed int overflow,15(gcc) 2(llvm),gcc,115019,2024,2007,hang,No-UB assumption,,,,
b-10,UB signed int overflow,15(gcc) 2(llvm),gcc,114554,2024,2007,hang,No-UB assumption,,,,
b-10,UB signed int overflow,15(gcc) 2(llvm),gcc,107785,2022,2007,hang,No-UB assumption,,,,
b-10,UB signed int overflow,15(gcc) 2(llvm),gcc,43242,2010,2007,hang,No-UB assumption,,,,
b-10,UB signed int overflow,15(gcc) 2(llvm),gcc,83703,2018,2007,hang,No-UB assumption,,,,
b-10,UB signed int overflow,15(gcc) 2(llvm),gcc,50922,2010,2007,hang,No-UB assumption,,,,
b-10,UB signed int overflow,15(gcc) 2(llvm),gcc,56463,2011,2007,hang,No-UB assumption,,,,
b-10,UB signed int overflow,15(gcc) 2(llvm),gcc,36996,2008,2007,hang,No-UB assumption,,,,
b-10,UB signed int overflow,15(gcc) 2(llvm),gcc,45707,2010,2007,hang,No-UB assumption,,,,
b-10,UB signed int overflow,15(gcc) 2(llvm),llvm,12505 (original 12133),2012,2007,hang,No-UB assumption,,bugzilla,clang,invalid
b-10,UB signed int overflow,15(gcc) 2(llvm),llvm,11295 (original 10923),2011,2007,hang,No-UB assumption,,bugzilla,clang,invalid
